,,,,,,,,,,,,,
,,,,353 804,27 880 869,,237 409 289 009,24 955 515,,222 645 234 424,"3 279 157,200",,23 414 908 060
,Код материала,Наименование товара,Ед. изм,Остаток на начало,Приход,,,Расход,,,Остаток,,
,,,,,Кол-во,Цена,Сумма,Кол-во,Цена,Сумма,Кол-во,Цена,Сумма
,00-00000130,Сапог ETIK PUKAKLI [6],пара,17,0,0,0,17,0,0,"0,0000",0,0
,00-00000131,САЛАФАН плаш  SALAFAN KYIM  [200],шт,,10 750,18 464,198 490 000,10 207,18 464,188 462 101,543,18 464,10 027 899
,00-00000132,Ключ шестигранный   SHESTGRAN DONALI 14 [50],шт,1,13,13 231,172 000,13,13 231,172 000,"1,0000",13 231,13 231
,00-00000136,Автомат 630А,шт,1,4,1 430 000,5 720 000,5,1 430 000,7 150 000,"0,0000",1 430 000,0
,00-00000137,Автомат 100А,шт,,41,260 000,10 660 000,41,260 000,10 660 000,"0,0000",260 000,0
,00-00000138,Автомат 63А,шт,1,22,146 572,3 224 580,23,146 572,3 371 152,"0,0000",146 572,0
,00-00000141,Автомат 1фаз 25А,шт,247,9 110,11 190,101 939 040,5 858,11 190,65 549 824,3 499,11 190,39 153 096
,00-00000142,Наканечник ТА 70,шт,,40,6 500,260 000,40,6 500,260 000,"0,0000",6 500,0
,00-00000144,АВВГ5х185,м,17,100,219 950,21 995 000,117,219 950,25 734 150,"0,0000",219 950,0
,00-00000145,АВВГ 5х70,м,50,2 593,99 414,257 779 755,1 819,99 414,180 833 542,824,99 414,81 916 899
,00-00000153,BLOK-FIX_25 kg (Клей для газоблока),кг,5 305,0,0,0,5 305,0,0,"0,0000",0,0
,00-00000156,Отвод из ппр 40мм,шт,89,938,3 307,3 102 092,806,3 307,2 665 550,221,3 307,730 877
,00-00000157,Отвод из ппр 75мм,шт,22,116,24 109,2 796 592,96,24 109,2 314 421,42,24 109,1 012 559
,00-00000159,Муфта из ппр 20мм,шт,,10 442,604,6 309 400,10 057,604,6 076 770,385,604,232 630
,00-00000160,Муфта из ппр диам 40,шт,114,1 896,2 350,4 455 960,1 735,2 350,4 077 579,275,2 350,646 302
,00-00000161,Муфта из ппр диам 75,шт,,248,12 227,3 032 248,233,12 227,2 848 846,15,12 227,183 402
,00-00000163,Шаровой кран 25,шт,5,279,24 486,6 831 520,284,24 486,6 953 949,0,24 486,0
,00-00000164,Труба 200 6 ст / 4м,м,7,0,0,0,7,0,0,"0,0000",0,0
,00-00000167,Наканечник 25мм,шт,,966,4 979,4 809 320,966,4 979,4 809 320,"0,0000",4 979,0
,00-00000168,Кран из ппр 20мм,шт,55,1 638,17 239,28 237 336,1 693,17 239,29 185 476,0,17 239,0
,00-00000169,Отвод из ппр 20мм,шт,28,53 460,686,36 657 180,41 716,686,28 604 394,11 772,686,8 071 985
,00-00000170,Полотвод из ппр 20мм,шт,,8 620,626,5 398 560,8 304,626,5 200 655,316,626,197 905
,00-00000171,Мостик из ппр 20мм,шт,2,8 116,1 888,15 320 000,5 298,1 888,10 000 660,2 820,1 888,5 323 115
,00-00000173,Анкерный болт м14х100  ANKER BOLT 14/100 [50],шт,180,12 829,8 350,107 118 130,12 978,8 350,108 362 233,31,8 350,258 840
,00-00000175,Сверло по металу  ZONTIK SIVERLO 12 [250],шт,59,330,24 485,8 080 000,168,24 485,4 113 455,221,24 485,5 411 152
,00-00000176,Рулетка  METR ZONTIK 5M ARG [120],шт,,1 588,16 195,25 718 000,1 341,16 195,21 717 782,247,16 195,4 000 218
,00-00000177,Ключ тришетка для опалубки TRESHOTKA KLUCH [50],шт,12,337,95 733,32 261 896,335,95 733,32 070 431,14,95 733,1 340 257
,00-00000178,Санга   SANGA M10 [1000] TURK (1-почка 100шт),шт,1 370,413 700,4 888,2 022 268 000,284 122,4 888,1 388 858 663,130 948,4 888,640 106 237
,00-00000181,Зашитная каска оранжевый,шт,200,5 970,17 232,102 876 000,3 619,17 232,62 363 190,2 551,17 232,43 959 242
,00-00000182,Бур для бетон 12х160   ZONTIK BUR 160/12 [400],шт,13,2 948,11 014,32 469 300,2 589,11 014,28 515 271,372,11 014,4 097 212
,00-00000183,Зашитная очки ACHKI OQ ODDI [120],шт,38,1 855,3 064,5 683 750,1 678,3 064,5 141 419,215,3 064,658 763
,00-00000184,Пилный диск  ARRA GERMA 180 [100],шт,,446,48 000,21 407 950,383,48 000,18 383 957,63,48 000,3 023 993
,00-00000186,Сверло по металу  ZONTIK SIVERLO 6 [2000],шт,173,110,8 318,915 000,256,8 318,2 129 455,"27,0000",8 318,224 591
,00-00000187,Молоток  BOLGA 1000G [36],шт,20,99,42 673,4 224 600,103,42 673,4 395 291,"16,000",42 673,682 764
